id,artist,name,album,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
0CZ8lquoTX2Dkg7Ak2inwA,King Princess,1950,1950,2018-02-23,65,True,0.6,0.535,4,-7.043,1,0.107,0.648,4.7e-06,0.162,0.269,71.912,225133,4,alt z;indie pop;nyc pop
2unIXIeXCYSVte41IuRHTz,Junior Jack,Thrill Me,Trust It,2004-02-09,34,False,0.647,0.971,7,-8.778,1,0.0783,0.000406,0.898,0.4,0.159,124.992,354307,4,deep house;disco house;filter house;tech house;vocal house
4VyOQKexcxUcUmEwtcVnnd,Suzan & Freek,Honderd Keer,Iemand Van Vroeger,2023-09-22,51,False,0.692,0.61,5,-7.548,1,0.0361,0.0551,0.0,0.254,0.599,116.071,196034,4,dutch pop
2VxOWMxVKqoabIH5L9rQoL,Junior Jack,Stupidisco (Elektrik Disko Remix),Stupidisco (Jolyon Petch Remix),2021-08-13,47,False,0.782,0.756,1,-7.341,1,0.167,0.129,0.662,0.274,0.569,120.014,181000,4,deep house;disco house;filter house;tech house;vocal house
25yup6WYnPoITrfzhkBLmt,Powfu,I Can't Sleep,"Some Boring, Love Stories",2018-12-12,59,True,0.805,0.479,6,-9.238,0,0.363,0.182,3.41e-06,0.346,0.363,80.454,152500,4,sad lo-fi;sad rap
4osgfFTICMkcGbbigdsa53,Frank Ocean,Novacane,Novacane,2011-01-01,81,True,0.762,0.508,3,-9.112,1,0.0919,0.0584,0.00126,0.16,0.37,93.51,302347,4,lgbtq+ hip hop;neo soul
4pdhkd4q0efLlNXGFWHR99,The Opposites,Slaap,De Fik Erin,2008-01-01,48,False,0.699,0.871,10,-3.256,0,0.144,0.0558,0.0,0.144,0.73,100.055,212707,4,dutch hip hop
5TdsylMARn0PxbHqrmmJoS,Strike,"U Sure Do (Strike 7"" Mix)",U Sure Do,1994,55,False,0.683,0.93,3,-7.878,0,0.0499,0.0189,0.38,0.344,0.826,127.969,229172,4,eurodance
2kJwzbxV2ppxnQoYw4GLBZ,JP Saxe,If the World Was Ending (feat. Julia Michaels),If the World Was Ending (feat. Julia Michaels),2019-10-17,73,False,0.464,0.473,1,-10.086,1,0.129,0.866,0.0,0.109,0.604,75.801,208687,4,alt z;canadian contemporary r&b;singer-songwriter pop
5DS8MJPor5YAoo2Y9ElFzY,Gizmo Varillas,Paraiso,El Dorado,2016-11-25,56,False,0.665,0.67,8,-11.17,0,0.0451,0.856,0.833,0.0818,0.421,107.959,103227,4,tropical alternativo
5q4BpnMrYEFzLO0dYODj6J,Lorde,The Louvre,Melodrama,2017-06-16,61,False,0.664,0.382,0,-9.977,1,0.047,0.239,0.00749,0.0943,0.126,123.214,271088,4,art pop;metropopolis;nz pop;pop
6uvcFhpfRLKrT4pNHueLQN,Dale Howard,Real Love,Real Love,2020-07-03,49,False,0.621,0.854,4,-6.732,0,0.0552,0.0116,0.745,0.415,0.681,124.003,145560,4,tech house;uk tech house
2LMkwUfqC6S6s6qDVlEuzV,Frank Ocean,White Ferrari,Blonde,2016-08-20,84,False,0.501,0.0958,0,-15.605,1,0.0433,0.77,0.0,0.298,0.204,108.741,248808,4,lgbtq+ hip hop;neo soul
1DoECePnMuLtpLQSCZqwtK,Powfu,ill come back to you (feat. Sarcastic Sounds & Rxseboy),poems of the past,2020-05-29,56,False,0.652,0.483,8,-9.964,0,0.291,0.658,0.0,0.393,0.372,75.987,134881,4,sad lo-fi;sad rap
1acysIysfLZTWdHhF3Vr33,Ken@Work,It's Guaranteed,It's Guaranteed,2024-02-02,9,False,0.901,0.886,7,-4.648,0,0.0392,0.00634,0.00106,0.0773,0.972,120.018,289258,4,funky house
0Uwq5TKfVfanVZzoVCz620,KETTAMA,B O D Y,Bucklyn Bridge EP,2018-07-16,43,False,0.875,0.945,6,-7.564,0,0.0669,0.00448,0.809,0.0802,0.761,128.982,305271,4,irish electronic
19lsuvcZTu2byAFvz88wpM,Mighty Mouse,The Spirit,The Spirit,2018-10-19,27,False,0.647,0.929,11,-5.213,0,0.098,0.00224,0.386,0.149,0.177,126.018,194287,4,
2C0KFbb4v9CNWR5c9jWcKC,Gorillaz,Andromeda (feat. DRAM),Humanz (Deluxe),2017-04-28,62,False,0.788,0.472,0,-9.021,1,0.0475,0.003,0.0322,0.59,0.257,130.084,197547,4,alternative hip hop;modern rock;rock
2c4YggJQomYXSq4qLXrn4M,MIKA,Lollipop,Life In Cartoon Motion,2007-02-05,47,False,0.7,0.623,1,-5.351,1,0.0789,0.0375,1.03e-05,0.133,0.865,95.992,183533,4,electropop
