"release_date","popularity","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","listener_0","listener_1"
8,80,0,423,412,4,-12,1,434,546,0,63,659,180,148,4,0,1
46,73,0,768,608,1,-11,1,146,621,302,107,258,111,247,4,0,1
48,60,0,982,460,0,-12,0,173,88,2,124,559,130,182,4,0,1
50,62,0,840,573,5,-7,0,62,533,14,143,912,84,139,4,0,1
52,48,0,0,428,6,-9,1,0,69,911,199,0,0,115,0,0,1
49,43,0,699,587,11,-10,0,83,191,30,104,678,155,211,4,0,1
43,62,1,671,653,9,-7,0,98,206,4,262,953,92,63,4,0,1
53,43,0,606,881,9,-6,0,126,129,1,187,414,144,343,4,0,1
49,30,0,812,727,4,-6,0,75,252,0,105,435,95,166,4,0,1
53,39,0,700,992,6,-6,1,129,5,815,210,338,145,397,4,0,1
54,37,0,647,661,8,-7,1,56,134,30,233,646,110,192,4,0,1
53,15,0,775,236,7,-12,0,207,951,822,97,445,82,130,4,0,1
53,49,0,899,336,3,-10,1,175,135,717,85,291,120,243,4,0,1
52,13,0,726,325,7,-13,0,86,705,874,109,282,95,166,4,0,1
17,81,0,662,673,7,-6,1,75,165,0,989,721,106,197,4,0,1
43,71,0,881,465,6,-7,0,65,202,0,72,983,95,243,4,0,1
51,79,1,903,636,7,-7,1,131,602,686,104,689,158,134,4,0,1
54,50,0,666,932,7,-7,1,89,0,1000,167,901,150,233,4,0,1
52,57,0,631,322,0,-10,1,158,705,267,80,282,119,144,4,0,1
14,85,0,434,134,7,-22,0,62,896,0,107,435,159,199,4,0,1
3,63,0,495,37,0,-16,1,68,977,3,135,259,114,295,4,0,1
41,51,0,835,447,4,-9,1,73,4,2,29,653,86,162,4,0,1
50,50,0,796,313,2,-14,1,488,989,863,240,850,81,76,4,0,1
46,46,0,706,253,7,-13,0,57,109,914,101,782,177,615,4,0,1
54,32,0,843,292,6,-10,0,173,130,0,272,915,141,136,4,0,1
49,46,0,917,220,3,-19,0,322,981,963,110,494,82,88,4,0,1
52,32,0,804,390,8,-11,0,131,69,943,97,783,82,102,4,0,1
53,43,0,671,671,0,-6,1,60,163,0,138,570,118,199,4,0,1
52,55,0,659,557,2,-7,1,163,118,0,70,846,79,168,4,0,1
48,55,0,931,533,11,-8,1,141,53,849,98,389,92,152,4,0,1
8,75,0,788,427,4,-13,0,66,507,0,76,992,106,164,4,0,1
42,62,0,713,629,1,-7,0,65,294,6,116,759,106,322,4,0,1
54,45,0,725,988,2,-8,1,88,4,564,41,596,150,183,4,0,1
44,67,0,785,460,4,-6,0,384,155,0,960,907,96,134,4,0,1
52,30,0,671,662,11,-12,0,90,349,937,98,40,120,248,4,0,1
51,40,0,849,116,10,-19,0,893,973,768,97,689,168,103,4,0,1
39,65,1,758,448,3,-6,0,184,263,0,97,528,98,246,4,0,1
0,71,0,476,236,8,-13,0,78,547,1,48,615,174,324,5,0,1
53,33,0,889,794,5,-7,0,85,41,576,105,649,138,239,4,0,1
55,36,0,495,970,8,-4,0,211,0,85,442,636,152,257,4,0,1
54,52,0,559,748,8,-7,0,189,39,0,229,577,168,177,4,0,1
54,38,0,792,977,7,-4,1,102,0,938,55,990,151,231,4,0,1
49,87,1,848,446,11,-11,1,77,260,88,98,374,112,299,4,0,1
3,77,0,700,236,7,-14,1,101,459,0,41,379,119,147,4,0,1
7,55,0,692,543,9,-11,1,56,712,43,114,638,125,155,4,0,1
53,51,0,860,51,4,-14,0,374,695,997,173,628,80,63,4,0,1
44,46,0,786,572,3,-10,1,193,296,864,149,543,85,113,4,0,1
53,33,0,811,410,0,-10,0,144,755,11,83,736,84,154,4,0,1
53,39,0,658,499,8,-8,0,166,443,1,246,674,76,165,4,0,1
50,63,0,767,450,9,-13,0,70,804,0,264,869,120,109,4,0,1
46,61,0,808,466,11,-9,1,155,225,591,155,150,91,168,4,0,1
49,58,0,818,346,7,-6,0,162,29,612,25,605,172,157,4,0,1
49,50,0,703,698,7,-10,1,84,23,412,103,449,92,115,4,0,1
55,35,0,538,961,7,-4,1,68,4,811,58,868,150,321,4,0,1
47,54,0,836,775,11,-7,0,177,155,69,88,433,80,247,4,0,1
14,90,0,601,673,5,-7,1,341,468,0,79,841,170,143,4,0,1
54,15,0,684,364,1,-9,1,73,2,867,65,690,123,394,4,0,1
54,19,0,608,451,1,-7,1,73,133,0,302,751,186,200,4,0,1
11,60,0,868,49,11,-19,1,81,710,221,59,499,96,143,4,0,1
45,89,1,957,591,8,-5,1,438,28,1,168,511,123,234,4,0,1
54,37,0,659,898,11,-9,0,89,8,915,80,939,135,174,4,0,1
54,39,0,759,834,2,-7,0,116,12,692,97,464,125,355,4,0,1
55,73,0,664,838,7,-6,0,66,37,691,146,588,145,175,4,0,1
54,17,0,671,571,6,-7,0,70,37,942,52,559,129,333,4,0,1
54,32,0,610,687,9,-8,1,70,3,394,67,231,132,360,4,0,1
10,89,0,552,396,4,-11,0,236,463,0,107,530,78,125,4,0,1
46,75,1,538,618,4,-9,0,368,100,0,143,512,71,214,4,0,1
51,33,1,777,542,7,-7,0,219,433,0,92,730,79,194,4,0,1
54,49,0,803,762,9,-7,0,83,180,81,32,947,108,206,4,0,1
54,62,0,805,694,5,-10,0,90,7,288,84,811,133,235,4,0,1
52,82,1,473,615,8,-5,1,246,599,10,109,792,75,184,4,0,1
55,55,1,629,882,11,-6,0,762,16,0,1000,757,105,111,4,0,1
47,98,0,470,349,9,-10,1,88,982,282,737,103,174,208,3,0,1
41,56,0,710,819,0,-6,1,87,27,17,405,716,122,188,4,0,1
54,30,0,661,995,4,-7,0,155,0,434,78,517,145,299,4,0,1
41,68,0,1000,771,2,-8,0,82,55,815,100,979,122,202,4,0,1
54,54,0,699,939,2,-7,0,75,1,949,62,900,143,138,4,0,1
36,73,0,346,903,4,-5,1,96,0,0,52,266,163,229,4,0,1
50,68,1,706,205,1,-10,0,393,194,0,92,105,174,212,4,0,1
7,82,0,269,317,4,-13,1,69,746,0,271,560,207,162,4,0,1
54,49,0,686,964,2,-7,1,77,0,193,365,657,145,168,4,0,1
49,71,0,538,226,5,-9,0,71,926,0,107,361,74,221,4,0,1
48,42,0,577,230,7,-20,1,72,873,915,100,41,80,168,4,0,1
51,88,0,738,200,6,-14,0,193,915,682,94,250,120,245,4,0,1
54,15,0,464,976,11,-6,0,177,1,367,255,403,75,275,4,0,1
54,31,0,672,970,2,-5,1,213,0,348,81,321,144,361,4,0,1
22,43,0,726,916,11,-6,0,122,228,1,32,787,111,260,4,0,1
50,74,0,714,269,11,-10,1,94,754,0,84,167,64,191,4,0,1
52,87,0,742,160,9,-9,0,81,880,0,60,331,73,156,4,0,1
