id,artist,name,album,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
4NgherJDfCXWBZBYheM4jK,KXLLSWXTCH,WASTE,DISORDER,2021-10-29,77,False,0.627,0.123,7,-14.411,1,0.0316,0.859,0.00105,0.149,0.11,131.883,120429,4,dark trap;oc rap;scream rap
6pnD89Q888HUHhcwQUTky8,Foreign Air,Free Animal,For the Light,2016-09-23,62,False,0.577,0.583,5,-7.257,0,0.0433,0.0904,0.0,0.0937,0.406,80.002,180213,4,charlotte nc indie;indie poptimism;modern alternative rock
75yY1Ghs6E32WC4kSikXRJ,Nothing But Thieves,Is Everybody Going Crazy?,Moral Panic,2020-10-23,57,False,0.621,0.666,6,-7.078,1,0.0541,0.000465,0.0839,0.0779,0.572,123.969,237645,4,alternative pop rock;modern alternative rock;modern rock
7x8dCjCr0x6x2lXKujYD34,Foo Fighters,The Pretender,"Echoes, Silence, Patience & Grace",2007-09-25,78,False,0.433,0.959,9,-4.04,1,0.0431,0.000917,0.0,0.028,0.365,172.984,269373,4,alternative metal;alternative rock;modern rock;permanent wave;post-grunge;rock
2iUmqdfGZcHIhS3b9E9EWq,Neon Trees,Everybody Talks,Picture Show,2012-01-01,78,True,0.471,0.924,8,-3.906,1,0.0584,0.00301,0.0,0.313,0.716,154.962,177280,4,modern rock;neo mellow;pop rock;pov: indie
0l4DTppOxy7NUaEcwXuOb6,Neon Trees,Animal,Habits (Spotify),2010,63,False,0.482,0.829,5,-5.576,1,0.0437,0.00034,0.0,0.378,0.739,147.99,212307,4,modern rock;neo mellow;pop rock;pov: indie
0ILT475efW2vVY5pxvCj0m,Tigercub,Control,Abstract Figures in the Dark,2016-11-11,36,False,0.44,0.905,8,-6.308,1,0.0477,0.000348,0.00182,0.104,0.568,83.978,246006,4,brighton indie;modern alternative rock
6OPZtIV3uoZQT1YkoiEQH9,Jason Derulo,The Other Side,Tattoos,2013-09-10,59,False,0.561,0.836,9,-3.939,1,0.1,0.0525,0.0,0.136,0.517,127.923,226987,4,dance pop;pop
2ogKhhoMClkFXek7ZgxAhN,Camila Cabello,Shameless,Romance,2019-12-06,82,False,0.377,0.651,4,-5.437,0,0.0589,0.0197,5.31e-05,0.174,0.0851,129.607,219742,4,dance pop;pop
1MVqeIAwhD4T44AKVkIfic,Fred again..,leavemealone,leavemealone,2023-12-08,71,True,0.68,0.881,0,-4.503,1,0.0553,0.00499,0.0253,0.574,0.105,174.062,222784,4,edm;house;stutter house
3PUnku87booODLtX6VVHwN,Nothing But Thieves,Soda,Broken Machine (Deluxe),2017-09-08,54,False,0.501,0.506,2,-7.24,0,0.0281,0.164,0.000155,0.143,0.144,74.924,236307,4,alternative pop rock;modern alternative rock;modern rock
3ZOEytgrvLwQaqXreDs2Jx,Red Hot Chili Peppers,Can't Stop,By the Way (Deluxe Edition),2002-07-09,85,False,0.618,0.938,9,-3.442,1,0.0456,0.0179,0.0,0.167,0.875,91.455,269000,4,alternative rock;funk metal;funk rock;permanent wave;rock
3O2pB9JHreUZ9F83qSNmu8,Nothing But Thieves,If I Get High,Nothing But Thieves (Deluxe),2015-10-16,51,False,0.441,0.57,4,-5.584,1,0.032,0.0104,0.0146,0.123,0.117,139.876,206560,4,alternative pop rock;modern alternative rock;modern rock
0KzAbK6nItSqNh8q70tb0K,Pixies,Where Is My Mind?,Death to the Pixies,1997-10-06,73,False,0.513,0.442,4,-13.529,1,0.0343,0.00731,0.000838,0.0878,0.243,81.201,229227,4,alternative rock;boston rock;permanent wave;rock
5pjp1jN7hitQTuSlT2jOep,Mia Nicolai,Burning Daylight,Burning Daylight,2023-03-01,41,False,0.511,0.425,3,-8.68,1,0.0331,0.598,0.0,0.106,0.269,74.974,184000,4,
4KIsxUAKHmbnrNqraNs6Yb,Big2,Ça Va,Ça Va,2024-06-20,65,True,0.932,0.721,1,-4.347,1,0.0901,0.0731,0.0,0.0323,0.802,105.035,130571,4,dutch hip hop
3dj4wgM3cPeuLwMNHDuBon,Teddy Swims,The Door,I've Tried Everything But Therapy (Part 1),2023-09-15,87,False,0.731,0.861,8,-5.483,0,0.0532,0.0193,0.0,0.123,0.759,127.922,212649,4,
3s2UJl9ncmoaQYvMQHBE39,Nothing But Thieves,Futureproof,Moral Panic (The Complete Edition),2021-10-29,51,False,0.337,0.905,11,-5.211,0,0.168,0.000823,0.000475,0.192,0.37,171.455,207769,4,alternative pop rock;modern alternative rock;modern rock
5D34wRmbFS29AjtTOP2QJe,Ariana Grande,"yes, and?",eternal sunshine,2024-03-08,78,True,0.787,0.775,1,-6.614,1,0.0548,0.19,6.54e-05,0.113,0.787,118.998,214994,4,pop
25HgUJf69zb3K7TJw7LGCQ,Royel Otis,Sofa King,Sofa Kings,2023-03-31,69,True,0.565,0.898,0,-5.055,1,0.0412,0.00491,0.00296,0.254,0.864,97.021,196317,4,australian indie rock
0pdKRp2sUthTPe7RLWpPqQ,flora cash,You're Somebody Else,You're Somebody Else,2018-06-19,68,False,0.713,0.452,1,-9.638,1,0.0295,0.841,0.0038,0.105,0.235,102.963,218883,4,indie pop;scandipop;swedish indie folk
5iH8UrvxTButDRaWECLDol,FLEMMING,Champions League,Champions League,2023-11-10,59,False,0.677,0.764,7,-6.284,1,0.209,0.27,0.0,0.224,0.631,90.116,142002,4,
25GoSSjvy3u0EspPQ0vzeG,Groove Crackers,Tell Me Why,Tell Me Why,2023-10-31,51,False,0.574,0.943,11,-6.258,0,0.0348,0.00444,0.808,0.283,0.304,150.02,124000,4,covertronica
0BPKqNWOKQam19tKWoZQwu,Foals,Birch Tree,What Went Down,2015-08-28,55,False,0.659,0.792,6,-7.101,0,0.0301,0.0186,0.0407,0.102,0.467,108.011,261133,4,alternative dance;garage rock;indie rock;indietronica;modern alternative rock;modern rock;neo-synthpop;oxford indie;shimmer pop
3yazrB5APUb26Mdwrri8t7,Fred again..,Baby again..,USB,2022-01-18,65,False,0.847,0.724,2,-7.668,1,0.047,0.00355,0.00339,0.0731,0.326,126.983,319964,4,edm;house;stutter house
7jley98gCQFueQ5MCaFWIb,Blue,All Rise,All Rise,2001-11-26,64,False,0.721,0.737,5,-2.734,0,0.0324,0.121,0.0,0.165,0.931,97.996,223547,4,boy band
2EgnCPvbhL5suzKQIUoULA,Marco Borsato,Een Moment,Een Moment,2021-03-09,37,False,0.438,0.645,9,-6.597,1,0.0289,0.342,2.15e-05,0.132,0.394,149.782,275676,4,dutch cabaret;dutch pop;dutch rock
1wADwLSkYhrSmy4vdy6BRn,Omah Lay,soso,Boy Alone,2022-07-14,77,False,0.711,0.725,3,-8.315,0,0.0941,0.424,0.129,0.11,0.53,105.016,183057,4,afrobeats
561pBFcFL2Pwb9HPO9tU8J,Fred again..,places to be,places to be,2024-05-31,77,True,0.548,0.878,10,-5.154,1,0.0598,0.0253,0.000934,0.0909,0.826,174.043,226677,4,edm;house;stutter house
3azJifCSqg9fRij2yKIbWz,Tory Lanez,The Color Violet,Alone At Prom,2021-12-10,84,False,0.645,0.534,6,-10.8,0,0.0479,0.157,0.0,0.0863,0.463,105.02,226467,4,canadian hip hop;canadian trap;melodic rap;pop rap;r&b;rap;trap
1uqU0nq6DCbJMktSlUvQV8,Nothing But Thieves,Trip Switch,Nothing But Thieves (Deluxe),2015-10-16,54,False,0.615,0.798,10,-4.163,0,0.0815,0.0188,0.0081,0.0995,0.753,88.465,181133,4,alternative pop rock;modern alternative rock;modern rock
6dJqGZfCEPfxojPYMGvmoc,Fred again..,Turn On The Lights again.. (feat. Future),USB,2022-01-18,68,False,0.683,0.887,6,-4.944,0,0.0497,0.0125,0.446,0.318,0.552,132.007,267947,4,edm;house;stutter house
2toVe5hfuIi97ytDPDbQFt,Tyga,Taste (feat. Offset),Legendary,2019-06-07,74,True,0.866,0.613,0,-6.385,1,0.151,0.0293,0.0,0.104,0.359,98.001,229210,4,hip hop;pop rap;rap;southern hip hop;trap
